Product code,Bureau of Meteorology station number,Year,Month,Day,Maximum temperature (Degree C),Days of accumulation of maximum temperature,Quality
IDCJAC0010,086338,2013,01,01,,,
IDCJAC0010,086338,2013,01,02,,,
IDCJAC0010,086338,2013,01,03,,,
IDCJAC0010,086338,2013,01,04,,,
IDCJAC0010,086338,2013,01,05,,,
IDCJAC0010,086338,2013,01,06,,,
IDCJAC0010,086338,2013,01,07,,,
IDCJAC0010,086338,2013,01,08,,,
IDCJAC0010,086338,2013,01,09,,,
IDCJAC0010,086338,2013,01,10,,,
IDCJAC0010,086338,2013,01,11,,,
IDCJAC0010,086338,2013,01,12,,,
IDCJAC0010,086338,2013,01,13,,,
IDCJAC0010,086338,2013,01,14,,,
IDCJAC0010,086338,2013,01,15,,,
IDCJAC0010,086338,2013,01,16,,,
IDCJAC0010,086338,2013,01,17,,,
IDCJAC0010,086338,2013,01,18,,,
IDCJAC0010,086338,2013,01,19,,,
IDCJAC0010,086338,2013,01,20,,,
IDCJAC0010,086338,2013,01,21,,,
IDCJAC0010,086338,2013,01,22,,,
IDCJAC0010,086338,2013,01,23,,,
IDCJAC0010,086338,2013,01,24,,,
IDCJAC0010,086338,2013,01,25,,,
IDCJAC0010,086338,2013,01,26,,,
IDCJAC0010,086338,2013,01,27,,,
IDCJAC0010,086338,2013,01,28,,,
IDCJAC0010,086338,2013,01,29,,,
IDCJAC0010,086338,2013,01,30,,,
IDCJAC0010,086338,2013,01,31,,,
IDCJAC0010,086338,2013,02,01,,,
IDCJAC0010,086338,2013,02,02,,,
IDCJAC0010,086338,2013,02,03,,,
IDCJAC0010,086338,2013,02,04,,,
IDCJAC0010,086338,2013,02,05,,,
IDCJAC0010,086338,2013,02,06,,,
IDCJAC0010,086338,2013,02,07,,,
IDCJAC0010,086338,2013,02,08,,,
IDCJAC0010,086338,2013,02,09,,,
IDCJAC0010,086338,2013,02,10,,,
IDCJAC0010,086338,2013,02,11,,,
IDCJAC0010,086338,2013,02,12,,,
IDCJAC0010,086338,2013,02,13,,,
IDCJAC0010,086338,2013,02,14,,,
IDCJAC0010,086338,2013,02,15,,,
IDCJAC0010,086338,2013,02,16,,,
IDCJAC0010,086338,2013,02,17,,,
IDCJAC0010,086338,2013,02,18,,,
IDCJAC0010,086338,2013,02,19,,,
IDCJAC0010,086338,2013,02,20,,,
IDCJAC0010,086338,2013,02,21,,,
IDCJAC0010,086338,2013,02,22,,,
IDCJAC0010,086338,2013,02,23,,,
IDCJAC0010,086338,2013,02,24,,,
IDCJAC0010,086338,2013,02,25,,,
IDCJAC0010,086338,2013,02,26,,,
IDCJAC0010,086338,2013,02,27,,,
IDCJAC0010,086338,2013,02,28,,,
IDCJAC0010,086338,2013,03,01,,,
IDCJAC0010,086338,2013,03,02,,,
IDCJAC0010,086338,2013,03,03,,,
IDCJAC0010,086338,2013,03,04,,,
IDCJAC0010,086338,2013,03,05,,,
IDCJAC0010,086338,2013,03,06,,,
IDCJAC0010,086338,2013,03,07,,,
IDCJAC0010,086338,2013,03,08,,,
IDCJAC0010,086338,2013,03,09,,,
IDCJAC0010,086338,2013,03,10,,,
IDCJAC0010,086338,2013,03,11,,,
IDCJAC0010,086338,2013,03,12,,,
IDCJAC0010,086338,2013,03,13,,,
IDCJAC0010,086338,2013,03,14,,,
IDCJAC0010,086338,2013,03,15,,,
IDCJAC0010,086338,2013,03,16,,,
IDCJAC0010,086338,2013,03,17,,,
IDCJAC0010,086338,2013,03,18,,,
IDCJAC0010,086338,2013,03,19,,,
IDCJAC0010,086338,2013,03,20,,,
IDCJAC0010,086338,2013,03,21,,,
IDCJAC0010,086338,2013,03,22,,,
IDCJAC0010,086338,2013,03,23,,,
IDCJAC0010,086338,2013,03,24,,,
IDCJAC0010,086338,2013,03,25,,,
