Date,Rainfall amount (millimetres),Maximum temperature (Degree C)
2013-06-02,5.0,15.7
2013-06-03,0.2,14.8
2013-06-04,0.2,15.0
2013-06-05,0.0,14.6
2013-06-06,0.0,17.3
2013-06-07,13.0,14.5
2013-06-08,0.6,15.7
2013-06-09,0.0,14.4
2013-06-10,0.0,16.9
2013-06-11,0.0,14.8
2013-06-12,0.2,13.3
2013-06-13,9.6,12.8
2013-06-14,9.2,13.8
2013-06-15,0.0,14.2
2013-06-16,0.6,14.1
2013-06-17,1.0,11.6
2013-06-18,2.0,14.8
2013-06-19,0.0,14.1
2013-06-20,0.0,14.9
2013-06-21,0.0,15.0
2013-06-22,0.0,12.7
2013-06-23,0.0,12.3
2013-06-24,0.0,12.3
2013-06-25,0.0,16.4
2013-06-26,0.0,17.6
2013-06-27,0.0,18.2
2013-06-28,0.0,16.4
2013-06-29,0.0,13.3
2013-06-30,0.0,18.3
2013-07-01,0.2,17.9
2013-07-02,1.6,18.8
2013-07-03,0.0,16.2
2013-07-04,0.0,16.8
2013-07-05,0.6,14.1
2013-07-06,0.2,15.6
2013-07-07,1.2,13.6
2013-07-08,2.0,13.9
2013-07-09,0.0,13.6
2013-07-10,0.0,15.3
2013-07-11,0.0,16.3
2013-07-12,0.0,17.3
2013-07-13,0.0,15.4
2013-07-14,17.0,16.3
2013-07-15,1.4,18.5
2013-07-16,0.2,16.8
2013-07-17,0.0,18.7
2013-07-18,0.0,23.8
2013-07-19,6.6,16.9
2013-07-20,13.4,9.9
2013-07-21,9.8,10.7
2013-07-22,0.0,14.7
2013-07-23,3.0,12.9
2013-07-24,0.0,14.0
2013-07-25,0.2,12.5
2013-07-26,0.2,15.0
2013-07-27,0.0,14.2
2013-07-28,0.0,18.6
2013-07-29,5.2,19.2
2013-07-30,1.4,14.4
2013-07-31,0.2,15.0
2013-08-01,0.0,14.1
2013-08-02,0.0,14.2
2013-08-03,2.6,13.3
2013-08-04,12.2,13.7
2013-08-05,2.2,15.9
2013-08-06,3.8,16.0
2013-08-07,0.6,13.8
2013-08-08,15.2,13.4
2013-08-09,6.4,12.2
2013-08-10,0.0,17.9
2013-08-11,0.0,16.3
2013-08-12,0.0,14.1
2013-08-13,1.8,16.5
2013-08-14,0.0,14.4
2013-08-15,0.8,16.9
2013-08-16,0.0,17.9
2013-08-17,0.0,15.7
2013-08-18,0.2,17.6
2013-08-19,0.4,12.8
2013-08-20,0.6,12.7
2013-08-21,0.0,14.1
2013-08-22,0.0,15.1
2013-08-23,3.2,14.8
2013-08-24,0.4,16.5
2013-08-25,0.0,17.3
2013-08-26,0.0,19.4
2013-08-27,0.0,20.3
2013-08-28,0.0,22.4
2013-08-29,0.0,23.8
2013-08-30,2.4,19.1
2013-08-31,1.4,22.2
2013-09-01,0.0,23.4
2013-09-02,0.0,18.8
2013-09-03,0.0,24.2
2013-09-04,0.0,24.1
2013-09-05,0.0,19.7
2013-09-06,2.6,15.2
2013-09-07,0.0,17.9
2013-09-08,0.0,16.8
2013-09-09,0.2,23.2
2013-09-10,0.0,16.6
2013-09-11,0.2,16.9
2013-09-12,1.0,13.9
2013-09-13,1.0,16.4
2013-09-14,0.0,17.5
2013-09-15,0.0,21.9
2013-09-16,3.2,16.9
2013-09-17,25.4,17.7
2013-09-18,0.0,19.7
2013-09-19,10.8,17.2
2013-09-20,1.8,17.1
2013-09-21,1.4,19.4
2013-09-22,0.0,21.7
2013-09-23,0.0,24.3
2013-09-24,0.0,24.0
2013-09-25,0.0,23.6
2013-09-26,30.2,15.3
2013-09-27,0.8,20.3
2013-09-28,2.4,15.9
2013-09-29,0.8,21.0
2013-09-30,0.0,23.8
2013-10-01,2.2,16.3
2013-10-02,0.2,17.1
2013-10-03,1.8,14.7
2013-10-04,0.2,21.0
2013-10-05,0.2,25.2
2013-10-06,0.0,17.9
2013-10-07,3.2,16.9
2013-10-08,0.8,20.8
2013-10-09,0.0,26.7
2013-10-10,0.0,15.5
2013-10-11,3.2,20.6
2013-10-12,0.2,25.4
2013-10-13,0.0,17.0
2013-10-14,5.8,14.4
2013-10-15,1.4,19.4
2013-10-16,0.0,28.0
2013-10-17,1.6,15.3
2013-10-18,1.6,22.0
2013-10-19,0.0,26.5
2013-10-20,0.0,31.6
2013-10-21,0.0,17.4
2013-10-22,0.2,16.1
2013-10-23,15.4,15.3
2013-10-24,3.4,14.3
2013-10-25,0.2,15.7
2013-10-26,1.4,16.2
2013-10-27,0.0,16.9
2013-10-28,0.2,17.6
2013-10-29,1.4,16.2
2013-10-30,0.0,18.0
2013-10-31,0.0,16.2
2013-11-01,0.0,20.1
2013-11-02,0.0,24.6
2013-11-03,0.0,16.6
2013-11-04,1.2,15.9
2013-11-05,0.0,25.0
2013-11-06,0.0,30.3
2013-11-07,0.0,25.8
2013-11-08,0.0,17.7
2013-11-09,4.2,15.8
2013-11-10,2.0,16.3
2013-11-11,0.0,18.9
2013-11-12,0.4,16.0
2013-11-13,18.6,14.6
2013-11-14,7.8,15.9
2013-11-15,0.0,17.0
2013-11-16,0.0,17.1
2013-11-17,0.0,18.6
2013-11-18,0.0,26.9
2013-11-19,0.0,30.6
2013-11-20,0.0,17.8
2013-11-21,0.2,22.7
2013-11-22,0.0,21.9
2013-11-23,2.6,18.7
2013-11-24,6.0,17.7
2013-11-25,0.2,21.7
2013-11-26,0.0,28.2
2013-11-27,0.0,32.7
2013-11-28,0.0,24.1
2013-11-29,9.6,16.7
2013-11-30,0.2,17.9
2013-12-01,0.0,30.8
2013-12-02,0.0,35.5
2013-12-03,0.0,25.4
2013-12-04,10.4,21.1
2013-12-05,9.2,15.6
2013-12-06,2.6,17.5
2013-12-07,0.0,26.1
2013-12-08,0.0,27.6
2013-12-09,0.0,18.1
2013-12-10,12.4,20.3
2013-12-11,0.4,20.0
2013-12-12,2.4,21.8
2013-12-13,0.0,22.5
2013-12-14,0.0,18.1
2013-12-15,0.0,19.1
2013-12-16,0.0,19.3
2013-12-17,0.0,19.7
2013-12-18,0.0,26.3
2013-12-19,0.0,39.2
2013-12-20,0.0,22.2
2013-12-21,0.0,21.0
2013-12-22,0.2,28.7
2013-12-23,2.0,17.3
2013-12-24,1.0,21.5
2013-12-25,0.0,31.6
2013-12-26,0.0,26.7
2013-12-27,0.0,21.3
2013-12-28,0.0,36.2
2013-12-29,0.0,18.9
2013-12-30,0.0,20.7
2013-12-31,0.0,24.6
2014-01-01,0.0,26.5
2014-01-02,5.2,21.8
2014-01-03,0.0,21.6
2014-01-04,0.0,20.8
2014-01-05,0.2,26.2
2014-01-06,0.8,18.8
2014-01-07,0.0,19.2
2014-01-08,0.0,27.2
2014-01-09,0.0,32.3
2014-01-10,0.0,34.3
2014-01-11,0.0,21.1
2014-01-12,0.0,20.7
2014-01-13,0.0,29.0
2014-01-14,0.0,42.0
2014-01-15,0.2,41.6
2014-01-16,0.0,43.4
2014-01-17,0.2,42.5
2014-01-18,0.2,23.2
2014-01-19,0.0,20.8
2014-01-20,0.0,23.4
2014-01-21,0.0,21.9
2014-01-22,0.2,21.7
2014-01-23,0.0,28.4
2014-01-24,1.0,21.4
2014-01-25,5.4,19.1
2014-01-26,0.0,27.2
2014-01-27,0.0,34.6
2014-01-28,0.0,41.0
2014-01-29,0.0,22.9
2014-01-30,0.0,28.1
2014-01-31,0.0,24.8
2014-02-01,0.0,27.7
2014-02-02,0.0,38.1
2014-02-03,0.0,34.6
2014-02-04,0.4,25.8
2014-02-05,0.0,30.3
